Pos,Age,Tm,MP,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
0,23.0,27,23.3,0.482,0.5,0.26,3.4,0.557,0.515,1.9,0.689,6.6,1.0,0.6,0.7,1.2,2.1,10.2,0.0
0,29.0,14,27.0,0.597,0.0,0.0,3.7,0.599,0.597,1.1,0.364,11.5,2.3,0.9,1.1,1.9,2.3,8.6,0.0
0,25.0,15,35.0,0.536,0.0,0.083,8.4,0.543,0.537,4.4,0.8,9.8,3.2,1.2,0.8,2.5,2.8,21.2,1.0
6,22.0,29,15.6,0.483,0.9,0.396,0.9,0.621,0.604,0.4,0.682,1.8,0.6,0.2,0.1,0.3,1.4,5.0,0.0
1,22.0,14,22.0,0.474,1.4,0.364,2.0,0.601,0.571,1.4,0.729,4.6,1.2,0.7,0.7,0.7,1.9,9.4,0.0
6,24.0,28,14.5,0.479,1.0,0.412,1.3,0.546,0.582,0.7,0.675,1.7,2.0,0.6,0.4,1.2,1.5,6.3,0.0
6,24.0,29,14.7,0.488,1.0,0.402,1.3,0.578,0.591,0.8,0.692,1.6,2.1,0.7,0.4,1.3,1.6,6.3,0.0
6,24.0,17,13.0,0.417,1.3,0.5,1.3,0.357,0.521,0.0,0.0,2.0,0.5,0.3,0.5,1.0,0.8,6.3,0.0
6,27.0,16,27.6,0.44,2.0,0.404,1.4,0.503,0.569,1.7,0.906,3.4,2.4,0.8,0.2,1.1,1.6,10.5,0.0
0,24.0,5,33.2,0.654,0.0,0.111,6.2,0.664,0.655,2.5,0.733,9.9,1.6,0.8,1.2,1.5,2.2,14.8,0.0
3,24.0,18,21.5,0.411,1.4,0.336,1.9,0.488,0.496,1.1,0.813,2.3,3.0,1.1,0.2,1.3,2.0,9.0,0.0
1,29.0,17,26.2,0.503,0.6,0.423,2.6,0.527,0.551,1.7,0.764,4.8,4.1,1.1,0.9,1.4,2.1,8.6,0.0
1,28.0,16,32.5,0.538,0.8,0.27,10.3,0.583,0.557,8.2,0.646,12.0,5.4,0.8,0.8,3.9,3.3,31.3,1.0
4,30.0,16,4.1,0.25,0.0,0.0,0.2,0.313,0.25,0.2,0.5,1.0,0.2,0.1,0.1,0.3,0.5,0.5,0.0
3,22.0,21,24.7,0.435,1.1,0.333,3.0,0.488,0.492,2.5,0.89,4.5,4.1,0.6,0.6,1.5,2.5,11.8,0.0
4,25.0,27,35.8,0.453,1.8,0.356,4.3,0.514,0.522,2.4,0.825,5.4,2.0,2.0,0.8,2.1,3.0,16.4,0.0
4,22.0,30,26.3,0.439,0.9,0.294,2.4,0.539,0.499,1.7,0.752,6.2,2.6,0.9,0.5,1.5,2.9,9.1,0.0
0,24.0,23,30.3,0.591,0.1,0.304,8.0,0.6,0.595,2.2,0.739,10.1,2.0,0.6,0.8,1.9,2.8,18.7,0.0
0,23.0,8,21.6,0.538,0.3,0.243,4.4,0.593,0.557,1.6,0.698,6.6,0.6,0.5,0.7,0.9,2.0,11.4,0.0
4,20.0,9,8.8,0.45,1.5,0.468,0.4,0.389,0.631,0.2,0.667,1.5,0.2,0.3,0.1,0.4,0.4,5.5,0.0
3,21.0,4,35.2,0.411,4.0,0.376,4.2,0.45,0.51,2.8,0.836,6.4,8.4,1.3,0.3,3.6,3.3,23.3,1.0
0,24.0,28,16.9,0.485,1.0,0.385,1.5,0.591,0.584,0.9,0.661,4.8,1.0,0.3,1.0,0.6,2.3,7.1,0.0
0,24.0,21,17.0,0.495,1.1,0.398,1.6,0.594,0.596,0.9,0.686,4.6,1.1,0.3,1.0,0.6,2.2,7.3,0.0
0,24.0,13,14.7,0.308,0.7,0.222,0.7,0.5,0.385,1.3,0.5,7.3,0.7,0.0,1.0,1.0,3.7,4.7,0.0
1,20.0,21,33.7,0.421,1.1,0.274,5.4,0.474,0.457,5.7,0.754,6.6,3.6,0.9,0.5,2.7,2.2,19.9,0.0
6,24.0,14,31.1,0.463,3.0,0.416,4.5,0.502,0.556,3.3,0.904,5.0,4.1,1.0,0.4,2.2,2.4,21.3,1.0
3,23.0,27,9.3,0.411,0.5,0.283,1.2,0.5,0.469,0.6,0.789,1.3,1.1,0.5,0.4,0.6,1.1,4.4,0.0
4,19.0,26,10.1,0.538,0.0,0.0,1.3,0.636,0.538,0.8,0.9,2.5,0.6,0.2,0.2,0.5,1.9,3.4,0.0
1,30.0,25,32.6,0.469,1.6,0.37,2.9,0.553,0.554,4.1,0.836,4.6,1.6,0.8,0.1,1.1,1.3,14.7,0.0
1,21.0,27,35.3,0.453,0.9,0.301,5.1,0.499,0.488,2.6,0.769,7.0,4.8,1.0,0.9,2.1,2.2,15.5,0.0
6,22.0,19,34.1,0.429,1.8,0.33,5.1,0.479,0.484,4.0,0.753,5.2,2.8,0.5,0.2,2.3,2.6,19.5,0.0
6,32.0,30,19.6,0.387,1.3,0.38,1.5,0.395,0.479,0.9,0.778,2.8,2.4,0.4,0.3,1.1,1.0,7.7,0.0
0,22.0,26,13.9,0.642,0.1,0.429,2.1,0.659,0.658,0.7,0.655,5.5,1.3,0.4,0.9,1.1,2.1,5.1,0.0
4,27.0,26,20.6,0.492,0.6,0.364,2.5,0.536,0.538,1.4,0.791,3.4,1.2,0.7,0.3,0.8,1.0,8.3,0.0
1,34.0,12,22.0,0.418,1.6,0.384,0.5,0.564,0.574,0.5,0.667,4.2,1.5,0.6,0.7,0.7,2.0,6.3,0.0
1,22.0,20,15.4,0.449,0.5,0.4,1.5,0.469,0.506,1.0,0.554,3.4,0.9,0.5,0.8,0.6,1.0,5.4,0.0
6,29.0,30,33.0,0.515,1.7,0.371,6.9,0.569,0.566,3.7,0.839,3.6,5.3,0.9,0.7,2.8,1.9,22.7,1.0
6,26.0,28,26.6,0.396,3.1,0.359,1.7,0.484,0.523,0.6,0.787,3.5,1.7,0.9,0.1,1.1,1.5,13.4,0.0
6,26.0,29,26.8,0.396,3.1,0.359,1.7,0.485,0.522,0.7,0.841,3.6,1.7,0.8,0.1,1.1,1.4,13.4,0.0
6,26.0,13,24.2,0.391,3.4,0.362,1.6,0.471,0.523,0.0,0.0,2.6,1.6,1.8,0.0,1.4,2.4,13.4,0.0
